file_id,next_action,pair_index,prefix,prefix_len,prefix_list_temp,prefix_norm,source,split,task_id,transition_score,user_id
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,10,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,11,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,STEP_METION,11,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,12,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,STEP_ENTITIES,12,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION,13,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION""]",real,val,12,,10
12_892c3ac68e,MENTION_SELECTED,13,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES,14,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES""]",real,val,12,,10
12_892c3ac68e,MENTION_SELECTED,14,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED,15,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_BOUNDS_UPDATED,15,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED MENTION_SELECTED,16,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED', 'MENTION_SELECTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_BOUNDS_UPDATED,16,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED MENTION_SELECTED MENTION_SUGGESTION_BOUNDS_UPDATED,17,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED', 'MENTION_SELECTED', 'MENTION_SUGGESTION_BOUNDS_UPDATED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED""]",real,val,12,,10
12_892c3ac68e,TOKEN_SELECTED,17,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED MENTION_SELECTED MENTION_SUGGESTION_BOUNDS_UPDATED MENTION_SUGGESTION_BOUNDS_UPDATED,18,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED', 'MENTION_SELECTED', 'MENTION_SUGGESTION_BOUNDS_UPDATED', 'MENTION_SUGGESTION_BOUNDS_UPDATED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED""]",real,val,12,,10
12_892c3ac68e,TOKEN_SELECTED,18,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED MENTION_SELECTED MENTION_SUGGESTION_BOUNDS_UPDATED MENTION_SUGGESTION_BOUNDS_UPDATED TOKEN_SELECTED,19,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED', 'MENTION_SELECTED', 'MENTION_SUGGESTION_BOUNDS_UPDATED', 'MENTION_SUGGESTION_BOUNDS_UPDATED', 'TOKEN_SELECTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED"", ""TOKEN_SELECTED""]",real,val,12,,10
12_892c3ac68e,MENTION_CREATED,19,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED STEP_METION STEP_ENTITIES MENTION_SELECTED MENTION_SELECTED MENTION_SUGGESTION_BOUNDS_UPDATED MENTION_SUGGESTION_BOUNDS_UPDATED TOKEN_SELECTED TOKEN_SELECTED,20,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'STEP_METION', 'STEP_ENTITIES', 'MENTION_SELECTED', 'MENTION_SELECTED', 'MENTION_SUGGESTION_BOUNDS_UPDATED', 'MENTION_SUGGESTION_BOUNDS_UPDATED', 'TOKEN_SELECTED', 'TOKEN_SELECTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED"", ""MENTION_SUGGESTION_BOUNDS_UPDATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED""]",real,val,12,,10
